Source_File,Question_Type,Average_Score,Count,Std_Dev
4_uniform_hyp,Co,0.3,10,0.48304589153964794
4_uniform_hyp,E&D,0.3,10,0.48304589153964794
4_uniform_hyp,IR,0.4,10,0.5163977794943222
4_uniform_hyp,TA,0.5,10,0.5270462766947299
csv_data_json_doc,Co,0.2,10,0.4216370213557839
csv_data_json_doc,E&D,0.6,10,0.5163977794943222
csv_data_json_doc,IR,0.6,10,0.5163977794943222
csv_data_json_doc,TA,0.5,8,0.5345224838248488
kg_data_embedded_doc,Co,0.4,10,0.5163977794943222
kg_data_embedded_doc,E&D,0.2222222222222222,9,0.44095855184409843
kg_data_embedded_doc,IR,0.5,10,0.5270462766947299
kg_data_embedded_doc,TA,0.9,10,0.31622776601683794
kg_labeled_hyp,Co,0.5,10,0.5270462766947299
kg_labeled_hyp,E&D,0.4444444444444444,9,0.5270462766947299
kg_labeled_hyp,IR,0.5,10,0.5270462766947299
kg_labeled_hyp,TA,0.4,10,0.5163977794943222
metric_labeled_hyp,Co,0.4,10,0.5163977794943222
metric_labeled_hyp,E&D,0.625,8,0.5175491695067657
metric_labeled_hyp,IR,0.7,10,0.48304589153964794
metric_labeled_hyp,TA,0.3,10,0.48304589153964794
time_labeled_hyp,Co,0.5,10,0.5270462766947299
time_labeled_hyp,E&D,0.4,10,0.5163977794943222
time_labeled_hyp,IR,0.7,10,0.48304589153964794
time_labeled_hyp,TA,0.3,10,0.48304589153964794
unstructured_data_unstructured_doc,Co,0.3333333333333333,9,0.5
unstructured_data_unstructured_doc,E&D,0.4444444444444444,9,0.5270462766947299
unstructured_data_unstructured_doc,IR,0.4,10,0.5163977794943223
unstructured_data_unstructured_doc,TA,0.2,10,0.42163702135578396
value_labeled_hyp,Co,0.4444444444444444,9,0.5270462766947299
value_labeled_hyp,E&D,0.375,8,0.5175491695067657
value_labeled_hyp,IR,0.5,10,0.5270462766947299
value_labeled_hyp,TA,0.7,10,0.48304589153964794
