Source_File,Question_Type,Average_Score,Count,Std_Dev
4_uniform_hyp,Co,0.4,10,0.5163977794943222
4_uniform_hyp,E&D,0.4,10,0.5163977794943222
4_uniform_hyp,IR,0.2,10,0.42163702135578396
4_uniform_hyp,TA,0.6,10,0.5163977794943222
csv_data_json_doc,Co,0.6,10,0.5163977794943222
csv_data_json_doc,E&D,0.5,10,0.5270462766947299
csv_data_json_doc,IR,0.6,10,0.5163977794943222
csv_data_json_doc,TA,0.35,10,0.47434164902525683
kg_data_embedded_doc,Co,0.25,10,0.4249182927993987
kg_data_embedded_doc,E&D,0.35,10,0.4116363011742823
kg_data_embedded_doc,IR,0.5,10,0.5270462766947299
kg_data_embedded_doc,TA,0.6,10,0.5163977794943222
kg_labeled_hyp,Co,0.4,10,0.45946829173634074
kg_labeled_hyp,E&D,0.4,10,0.39440531887330776
kg_labeled_hyp,IR,0.1,10,0.31622776601683794
kg_labeled_hyp,TA,0.4,10,0.5163977794943222
metric_labeled_hyp,Co,0.35,10,0.4743416490252569
metric_labeled_hyp,E&D,0.6,10,0.5163977794943222
metric_labeled_hyp,IR,0.2,10,0.42163702135578396
metric_labeled_hyp,TA,0.45,10,0.49721446300587663
time_labeled_hyp,Co,0.3,10,0.48304589153964794
time_labeled_hyp,E&D,0.6,10,0.5163977794943222
time_labeled_hyp,IR,0.2,10,0.4216370213557839
time_labeled_hyp,TA,0.4,10,0.5163977794943222
unstructured_data_unstructured_doc,Co,0.1,10,0.31622776601683794
unstructured_data_unstructured_doc,E&D,0.45,10,0.49721446300587663
unstructured_data_unstructured_doc,IR,0.4,10,0.5163977794943223
unstructured_data_unstructured_doc,TA,0.05,10,0.15811388300841897
value_labeled_hyp,Co,0.3,10,0.48304589153964794
value_labeled_hyp,E&D,0.65,10,0.4743416490252569
value_labeled_hyp,IR,0.3,10,0.48304589153964794
value_labeled_hyp,TA,0.4,10,0.5163977794943222
